category,name,description,similarity_score,cropped image
Rack,SKU # P9K07A,Rack capacity 42U Dynamic load 2500 lb (1133.98 kg) Static load 3000 lb (1360.77 kg) Door color Black with industry standard flush locking handle Frame color Black Rack depth 1075mm Rack height 42U Rack width 600mm Total cabinet area 23.54 x 44.3 x 78.97 in (59.78 x 112.52 x 200.6 cm),0.87,"<img src=""/static/segmented_outputs/rack/1747316287_1_Rack_3.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Rack,NRSe 600 Series,"*Conforms to DIN 41494 or Equivalent EIA /ISO / EN / CEA Standard. *Adjustable mounting depth. *4 No Adjustable, 19” verticals with Punched 10 mm Square Hole and Universal 12.7mm-15.875mm-15.875mm alternating hole pattern offers greater mounting flexibility, maximizes usable mounting space. *State-of-the-art manufacturing methods provide the best product quality and fastest delivery in the industr",0.84,"<img src=""/static/segmented_outputs/rack/1747316287_1_Rack_3.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DES-108,The DES-108 8-Port Fast Ethernet Unmanaged Desktop Switch is a 8-port 10/100 Mbps Fast Ethernet ,0.79,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_0.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-F3000-04PI,4 x 10/100/1000BASE-T PoE/PoE+ Ports,0.77,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_0.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-1520-28MP,"20 x 10/100/1000Base-T
PoE Ports
4 x 2.5GBase-T PoE Ports
2 x 10GBase-T Ports
2 x 10G SFP+ Ports",0.79,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_1.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-1520-52,"48 x 10/100/1000Base-T
Ports
2 x 10GBase-T Ports
2 x 10G SFP+ Ports",0.79,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_1.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-2000-52MP," 48 x 10/100/1000BASE-T PoE ports
4 x 100/1000 Mbps GbE/SFP combo ports",0.88,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_10.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-F3000-04TI,4 x 10/100/1000BASE-T Ports,0.78,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_11.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,TL-SG105E,"Easy Smart Switch  5 10/100/1000 Mbps RJ45 Ports  AUTO Negotiation/AUTO MDI/MDIX	  10 Gbps	 External Adapter	VLAN, QoS, IGMP Snooping",0.87,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_13.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,"DGS-1520-52MP
","44 x 10/100/1000Base-T
PoE
4 x 2.5GBase-T PoE Ports
2 x 10GBase-T Ports
2 x 10G SFP+ Ports",0.85,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_14.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-F3000-8T4SI,8 x 10/100/1000BASE-T Ports & 4 x 1000BASE-X SFP Ports,0.85,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_7.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-F3000-4P4SI,4 x 10/100/1000BASE-T PoE/PoE+ Ports & 4 x 1000BASE-X SFP Ports,0.85,"<img src=""/static/segmented_outputs/switch/1747316287_1_Switch_7.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
