cropped_image,category,name,description,matched_image,image_path,similarity_score,coordinates,Cropped Image,Matched Catalog Image
/static/segmented_outputs/Cable/R11_Cable_1.jpg,Cable,LC TO SC 62.5 by 125 Duplex Multimode Fiber Optic Cable-Purple Jacket,"Connector A: LC Male
Connector B: SC Male
Length: 1M,2M,3M,5M,10M
Color: Purple
Jacket Type: OM1",Cables/Cables_images\LC_TO_SC_62.5_by_125_Duplex_Multimode_Fiber_Optic_Cable-Purple_Jacket.jpg,/static/segmented_outputs/Cable/R11_Cable_1.jpg,0.8451271653175354,"Position: (342,257) to (458,369)
Size: 116×112 pixels
Confidence: 0.87","<img src=""/static/segmented_outputs/Cable/R11_Cable_1.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Cables/Cables_images\LC_TO_SC_62.5_by_125_Duplex_Multimode_Fiber_Optic_Cable-Purple_Jacket.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Cable/R11_Cable_6.jpg,Cable,High Speed Shielded RJ11 to RJ11 Modem Cable,"Length: 6FT,15FT,25FT,50FT,100FT",Cables/Cables_images\High_Speed_Shielded_RJ11_to_RJ11_Modem_Cable.jpg,/static/segmented_outputs/Cable/R11_Cable_6.jpg,0.8404733538627625,"Position: (282,207) to (338,281)
Size: 56×74 pixels
Confidence: 0.20","<img src=""/static/segmented_outputs/Cable/R11_Cable_6.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Cables/Cables_images\High_Speed_Shielded_RJ11_to_RJ11_Modem_Cable.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_0.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_0.jpg,0.68916255235672,"Position: (76,280) to (113,319)
Size: 37×39 pixels
Confidence: 0.32","<img src=""/static/segmented_outputs/Port/R11_Port_0_0.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_1.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_1.jpg,0.6975957751274109,"Position: (103,281) to (136,317)
Size: 33×36 pixels
Confidence: 0.28","<img src=""/static/segmented_outputs/Port/R11_Port_0_1.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_2.jpg,Port,PoE / PoE+ / PoE++,"Ethernet ports with Power over Ethernet support, delivering power and data simultaneously.",Ports/ports_1_images\PoE__PoE+__PoE++.jpg,/static/segmented_outputs/Port/R11_Port_0_2.jpg,0.6592690348625183,"Position: (374,250) to (420,296)
Size: 46×46 pixels
Confidence: 0.27","<img src=""/static/segmented_outputs/Port/R11_Port_0_2.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\PoE__PoE+__PoE++.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_3.jpg,Port,RJ-11 TELEPHONE,"Port used for telephone lines and DSL connections, supports analog voice signals.",Ports/ports_1_images\RJ-11_TELEPHONE.jpg,/static/segmented_outputs/Port/R11_Port_0_3.jpg,0.6704714894294739,"Position: (357,247) to (397,287)
Size: 40×40 pixels
Confidence: 0.26","<img src=""/static/segmented_outputs/Port/R11_Port_0_3.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\RJ-11_TELEPHONE.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_4.jpg,Port,PoE / PoE+ / PoE++,"Ethernet ports with Power over Ethernet support, delivering power and data simultaneously.",Ports/ports_1_images\PoE__PoE+__PoE++.jpg,/static/segmented_outputs/Port/R11_Port_0_4.jpg,0.7348610162734985,"Position: (91,282) to (124,318)
Size: 33×36 pixels
Confidence: 0.25","<img src=""/static/segmented_outputs/Port/R11_Port_0_4.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\PoE__PoE+__PoE++.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_5.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_5.jpg,0.7686080932617188,"Position: (160,281) to (196,316)
Size: 36×35 pixels
Confidence: 0.24","<img src=""/static/segmented_outputs/Port/R11_Port_0_5.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_6.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_6.jpg,0.7699833512306213,"Position: (138,279) to (175,319)
Size: 37×40 pixels
Confidence: 0.23","<img src=""/static/segmented_outputs/Port/R11_Port_0_6.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_7.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_7.jpg,0.6729920506477356,"Position: (313,240) to (348,274)
Size: 35×34 pixels
Confidence: 0.21","<img src=""/static/segmented_outputs/Port/R11_Port_0_7.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
/static/segmented_outputs/Port/R11_Port_0_8.jpg,Port,Ethernet (RJ-45) port,"Networking port for wired LAN connections using twisted pair cables, supports up to 10 Gbps.",Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg,/static/segmented_outputs/Port/R11_Port_0_8.jpg,0.6978535652160645,"Position: (115,281) to (149,317)
Size: 34×36 pixels
Confidence: 0.21","<img src=""/static/segmented_outputs/Port/R11_Port_0_8.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>","<img src=""Ports/ports_1_images\Ethernet_(RJ-45)_port.jpg"" width=""100"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'""/>"
